seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12240,2024,CONMEBOL.RECOPA,3445,48735,2,0,0,3,0,0,0,0,0,0,1,0,0,1,0,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,3445,74906,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,3445,77641,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,4816,95614,2,0,0,1,0,0,0,0,0,0,0,0,32,6,2,2024-07-13 03:14:38
12240,2024,CONMEBOL.RECOPA,3445,127502,2,2,1,0,0,0,0,0,0,0,2,0,0,1,1,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,4816,128222,2,0,3,0,0,0,0,0,0,1,4,0,0,1,1,2024-07-13 03:14:38
12240,2024,CONMEBOL.RECOPA,4816,131726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:14:38
12240,2024,CONMEBOL.RECOPA,3445,146162,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,3445,155466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,3445,158382,2,0,0,0,0,0,0,0,1,0,0,0,28,6,1,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,3445,165749,2,0,0,0,1,0,0,0,0,2,8,0,0,0,0,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,4816,173003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:14:38
12240,2024,CONMEBOL.RECOPA,3445,175902,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,3445,182301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,3445,187032,2,1,2,1,0,1,0,0,0,0,0,0,0,1,1,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,4816,188106,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2024-07-13 03:14:38
12240,2024,CONMEBOL.RECOPA,3445,188143,2,0,2,7,1,0,0,0,0,1,1,0,0,2,1,2024-07-13 03:14:39
12240,2024,CONMEBOL.RECOPA,3445,196842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 03:14:39
